lot_id,ferme_id,coop_id,variete,grade,certification,date_creation
56,11205,23,Forastero,Standard,Rainforest Alliance,2023-02-18
57,682,70,Forastero,Standard,Rainforest Alliance,2023-10-04
58,7481,16,Trinitario,Premium,Aucune,2025-03-05
59,4039,16,Forastero,Standard,Aucune,2024-06-12
60,2138,76,Forastero,Standard,Aucune,2025-06-24
61,11623,28,Forastero,Standard,Bio,2023-03-19
62,8814,15,Trinitario,Standard,Rainforest Alliance,2024-08-06
63,2987,31,Forastero,Premium,Bio,2024-01-13
64,10846,88,Forastero,Standard,Aucune,2025-09-23
65,11682,23,Forastero,Standard,Rainforest Alliance,2023-02-13
66,909,16,Forastero,Standard,Aucune,2025-02-15
67,9269,1,Forastero,Premium,Aucune,2024-05-03
68,8617,38,Forastero,Standard,Aucune,2024-10-28
69,9896,77,Trinitario,Standard,Bio,2025-09-23
70,9863,33,Forastero,Premium,Rainforest Alliance,2025-03-01
71,6992,109,Forastero,Standard,Bio,2024-07-15
72,10731,32,Forastero,Standard,Aucune,2023-09-12
73,3414,102,Forastero,Premium,Aucune,2024-11-03
74,11831,65,Forastero,Standard,Fairtrade,2025-12-30
75,10221,84,Forastero,Standard,Rainforest Alliance,2024-06-01
76,11284,92,Trinitario,Standard,UTZ,2023-06-28
77,11516,111,Forastero,Standard,UTZ,2025-03-25
78,2789,119,Forastero,Premium,Aucune,2025-03-16
79,8374,26,Forastero,Standard,UTZ,2024-02-07
80,1749,16,Forastero,Premium,Aucune,2024-07-23
81,10675,44,Forastero,Premium,Bio,2024-01-01
82,7036,31,Forastero,Standard,Bio,2025-10-04
83,9854,46,Forastero,Standard,Rainforest Alliance,2025-04-06
84,4905,112,Forastero,Standard,Aucune,2024-10-29
85,3156,10,Forastero,Premium,Rainforest Alliance,2024-06-26
86,8086,105,Forastero,Standard,Bio,2023-06-26
87,3584,50,Forastero,Premium,Aucune,2023-09-16
88,4842,39,Forastero,Standard,UTZ,2023-07-14
89,9442,31,Forastero,Standard,Bio,2024-01-24
90,3971,119,Forastero,Standard,Aucune,2025-08-31
91,7192,65,Forastero,Standard,Fairtrade,2024-04-10
92,525,13,Forastero,Standard,Aucune,2024-06-14
93,9979,70,Forastero,Standard,Rainforest Alliance,2023-04-03
94,9643,75,Forastero,Standard,Aucune,2024-07-02
95,5811,85,Forastero,Standard,Aucune,2024-06-16
96,11786,51,Forastero,Premium,Bio,2025-03-24
97,2981,108,Forastero,Standard,Fairtrade,2025-12-11
98,9614,25,Forastero,Standard,Aucune,2024-12-17
99,1244,13,Criollo,Standard,Aucune,2023-06-15
100,573,51,Forastero,Premium,Bio,2023-07-09
101,7848,11,Forastero,Premium,Aucune,2023-03-20
102,7206,78,Forastero,Premium,Rainforest Alliance,2025-08-21
103,333,80,Forastero,Standard,Aucune,2025-07-10
104,10973,76,Trinitario,Standard,Aucune,2025-05-29
105,2295,42,Forastero,Standard,UTZ,2025-05-17
106,11137,98,Trinitario,Standard,Fairtrade,2023-10-28
107,3295,40,Forastero,Standard,Aucune,2025-07-22
108,7363,87,Forastero,Standard,Rainforest Alliance,2023-01-16
109,3592,71,Forastero,Standard,Aucune,2023-05-20
110,6650,44,Forastero,Standard,Bio,2023-07-11
111,11103,32,Trinitario,Standard,Aucune,2023-10-18
112,9923,30,Forastero,Premium,Aucune,2023-02-09
113,9802,43,Forastero,Standard,Aucune,2023-01-13
114,506,115,Forastero,Standard,Aucune,2023-10-11
115,6366,52,Forastero,Standard,Fairtrade,2024-07-08
116,9208,88,Trinitario,Premium,Aucune,2024-08-13
117,798,65,Forastero,Premium,Fairtrade,2023-12-03
118,2118,29,Forastero,Premium,Rainforest Alliance,2023-09-20
119,8272,94,Trinitario,Standard,Rainforest Alliance,2024-01-23
120,11286,15,Forastero,Premium,Rainforest Alliance,2023-01-20
121,7609,112,Forastero,Premium,Aucune,2025-12-15
122,3618,72,Forastero,Standard,Rainforest Alliance,2024-10-21
123,8507,20,Forastero,Standard,Aucune,2024-07-21
124,1849,69,Trinitario,Premium,Aucune,2024-09-23
125,4655,108,Forastero,Premium,Fairtrade,2025-03-27
126,10030,94,Forastero,Premium,Rainforest Alliance,2023-01-30
127,7267,61,Trinitario,Premium,Rainforest Alliance,2024-10-05
128,733,36,Forastero,Standard,Fairtrade,2023-08-23
129,275,75,Trinitario,Premium,Aucune,2025-10-09
130,2181,24,Forastero,Standard,Rainforest Alliance,2023-07-08
131,11412,68,Forastero,Standard,Rainforest Alliance,2023-09-05
132,217,110,Trinitario,Standard,Aucune,2025-09-02
133,6235,105,Forastero,Standard,Bio,2025-05-17
134,10255,45,Trinitario,Standard,Aucune,2024-05-03
135,4561,9,Forastero,Premium,Aucune,2024-04-11
136,5676,66,Forastero,Standard,Fairtrade,2024-02-21
137,624,34,Forastero,Premium,Rainforest Alliance,2023-12-15
138,11840,108,Forastero,Standard,Fairtrade,2025-07-21
139,1318,25,Trinitario,Standard,Aucune,2024-07-06
140,4545,52,Forastero,Standard,Fairtrade,2025-05-19
141,9554,59,Forastero,Standard,Fairtrade,2024-01-13
142,7813,52,Forastero,Standard,Fairtrade,2025-07-13
143,9423,79,Forastero,Premium,Aucune,2025-01-05
144,4140,65,Forastero,Premium,Fairtrade,2025-01-14
145,10332,116,Trinitario,Standard,Aucune,2025-08-11
146,10052,119,Criollo,Premium,Aucune,2024-06-28
147,11271,103,Forastero,Standard,Aucune,2023-11-28
148,7269,17,Forastero,Standard,Aucune,2025-08-02
149,8163,5,Forastero,Standard,Fairtrade,2025-02-27
150,7724,34,Forastero,Premium,Rainforest Alliance,2025-03-04
151,10394,87,Forastero,Premium,Rainforest Alliance,2025-06-26
152,6377,35,Forastero,Standard,Aucune,2025-12-14
153,7944,65,Forastero,Standard,Fairtrade,2023-12-06
154,6949,25,Forastero,Standard,Aucune,2025-01-30
155,1782,77,Forastero,Standard,Bio,2025-06-12
156,1200,83,Forastero,Standard,Aucune,2024-02-07
157,5643,30,Forastero,Standard,Aucune,2024-11-16
158,8042,95,Forastero,Standard,UTZ,2023-01-22
159,216,21,Forastero,Premium,Aucune,2025-06-25
160,5275,74,Forastero,Standard,Aucune,2025-05-10
161,2198,88,Trinitario,Standard,Aucune,2024-06-08
162,5526,115,Criollo,Premium,Aucune,2023-01-30
163,6579,25,Forastero,Premium,Aucune,2023-03-30
164,6068,17,Forastero,Premium,Aucune,2023-10-06
165,5619,18,Trinitario,Premium,Rainforest Alliance,2025-11-11
166,1514,52,Forastero,Standard,Fairtrade,2025-05-16
167,10264,6,Forastero,Standard,Aucune,2024-06-05
168,5453,63,Forastero,Standard,Fairtrade,2023-03-08
169,3592,71,Forastero,Premium,Aucune,2023-06-11
170,10103,98,Forastero,Standard,Fairtrade,2025-04-09
171,2261,80,Forastero,Standard,Aucune,2025-10-13
172,1524,8,Forastero,Standard,Aucune,2024-01-07
173,2625,75,Forastero,Premium,Aucune,2025-03-26
174,8345,25,Forastero,Standard,Aucune,2023-12-09
175,916,28,Forastero,Standard,Bio,2024-04-20
176,3019,67,Trinitario,Standard,Bio,2023-05-11
177,8981,9,Forastero,Standard,Aucune,2025-04-17
178,6448,80,Forastero,Standard,Aucune,2024-05-09
179,5081,17,Forastero,Standard,Aucune,2024-01-21
180,7724,34,Forastero,Standard,Rainforest Alliance,2025-12-28
181,11415,85,Forastero,Premium,Aucune,2024-09-24
182,4138,6,Forastero,Standard,Aucune,2023-02-12
183,11340,23,Forastero,Premium,Rainforest Alliance,2025-01-21
184,6494,13,Trinitario,Standard,Aucune,2023-02-03
185,7177,71,Forastero,Premium,Aucune,2025-09-06
186,216,21,Trinitario,Premium,Aucune,2023-07-24
187,7032,95,Forastero,Standard,UTZ,2023-03-26
188,1608,103,Forastero,Standard,Aucune,2025-03-13
189,3120,59,Forastero,Standard,Fairtrade,2024-08-18
190,9202,76,Forastero,Standard,Aucune,2023-06-22
191,7368,109,Forastero,Standard,Bio,2024-08-01
192,5849,57,Forastero,Premium,Fairtrade,2025-12-23
193,11386,108,Trinitario,Premium,Fairtrade,2025-08-29
194,350,36,Trinitario,Standard,Fairtrade,2024-10-20
195,2493,61,Forastero,Standard,Rainforest Alliance,2025-01-12
196,3958,86,Forastero,Standard,Fairtrade,2024-12-16
197,5927,18,Forastero,Standard,Rainforest Alliance,2023-09-28
198,2388,62,Trinitario,Standard,Aucune,2023-09-04
199,4678,100,Forastero,Premium,Aucune,2023-04-28
200,3690,31,Forastero,Standard,Bio,2024-01-04
201,5340,69,Forastero,Standard,Aucune,2024-08-30
202,431,9,Forastero,Premium,Aucune,2023-01-10
203,735,97,Forastero,Standard,Aucune,2024-08-14
204,6544,101,Forastero,Standard,Aucune,2023-09-26
205,997,10,Trinitario,Standard,Rainforest Alliance,2024-01-23
206,6602,58,Forastero,Standard,Aucune,2023-07-08
207,4508,66,Forastero,Standard,Fairtrade,2025-08-25
208,10163,55,Forastero,Standard,UTZ,2025-08-11
209,1040,54,Trinitario,Standard,Fairtrade,2024-09-16
210,8318,74,Forastero,Standard,Aucune,2025-10-12
211,9910,108,Forastero,Standard,Fairtrade,2024-11-04
212,4187,15,Forastero,Standard,Rainforest Alliance,2025-04-13
213,1557,70,Trinitario,Standard,Rainforest Alliance,2023-12-15
214,2648,32,Forastero,Premium,Aucune,2025-08-01
215,6766,26,Trinitario,Premium,UTZ,2024-06-29
216,8193,72,Forastero,Premium,Rainforest Alliance,2024-03-17
217,400,73,Forastero,Standard,Fairtrade,2023-04-04
218,8166,95,Trinitario,Premium,UTZ,2025-05-27
219,4830,53,Trinitario,Standard,Fairtrade,2023-04-24
220,4663,63,Forastero,Standard,Fairtrade,2023-07-03
221,253,86,Forastero,Premium,Fairtrade,2025-08-07
222,9607,20,Forastero,Standard,Aucune,2023-06-21
223,10331,117,Forastero,Standard,Fairtrade,2025-07-13
224,6755,32,Forastero,Standard,Aucune,2024-08-16
225,2590,97,Forastero,Standard,Aucune,2025-01-14
226,1431,17,Forastero,Standard,Aucune,2025-01-26
227,5535,85,Forastero,Premium,Aucune,2024-09-03
228,2327,12,Forastero,Standard,Fairtrade,2024-05-06
229,8921,111,Forastero,Standard,UTZ,2024-03-19
230,3585,7,Forastero,Standard,Rainforest Alliance,2025-03-12
231,9010,113,Forastero,Standard,UTZ,2024-04-07
232,6127,71,Forastero,Standard,Aucune,2025-02-18
233,10034,58,Forastero,Standard,Aucune,2023-07-01
234,11343,70,Forastero,Standard,Rainforest Alliance,2023-03-08
235,5303,14,Forastero,Premium,Rainforest Alliance,2023-07-26
236,6970,109,Forastero,Premium,Bio,2025-10-03
237,2687,9,Forastero,Standard,Aucune,2023-01-07
238,1385,33,Forastero,Standard,Rainforest Alliance,2025-08-05
239,10078,10,Forastero,Standard,Rainforest Alliance,2025-06-07
240,5836,111,Forastero,Standard,UTZ,2025-04-07
241,8780,55,Forastero,Premium,UTZ,2024-05-24
242,7374,116,Forastero,Premium,Aucune,2024-09-14
243,10262,19,Forastero,Standard,Rainforest Alliance,2025-04-05
244,6934,58,Forastero,Standard,Aucune,2025-09-26
245,1191,100,Forastero,Standard,Aucune,2024-09-27
246,6148,26,Forastero,Standard,UTZ,2025-01-04
247,10516,114,Forastero,Premium,Rainforest Alliance,2024-11-08
248,8845,2,Forastero,Standard,Aucune,2023-06-15
249,6841,56,Forastero,Premium,Aucune,2024-01-23
250,8234,111,Forastero,Premium,UTZ,2025-05-08
251,2001,9,Forastero,Standard,Aucune,2023-01-29
252,6335,17,Trinitario,Standard,Aucune,2024-02-10
253,9809,76,Forastero,Standard,Aucune,2025-01-13
254,7944,65,Forastero,Standard,Fairtrade,2025-09-18
255,2752,45,Forastero,Standard,Aucune,2023-11-22
256,6971,93,Forastero,Premium,Fairtrade,2023-07-27
257,416,42,Forastero,Premium,UTZ,2025-07-27
258,6079,116,Trinitario,Premium,Aucune,2025-01-12
259,8008,12,Forastero,Standard,Fairtrade,2025-05-17
260,2784,9,Forastero,Standard,Aucune,2023-07-03
261,2861,50,Forastero,Premium,Aucune,2023-02-08
262,7423,105,Trinitario,Standard,Bio,2023-05-18
263,8323,116,Forastero,Premium,Aucune,2025-04-30
264,7650,17,Trinitario,Standard,Aucune,2024-09-24
265,7001,72,Forastero,Standard,Rainforest Alliance,2024-01-26
266,2238,24,Forastero,Standard,Rainforest Alliance,2025-02-24
267,11947,68,Forastero,Standard,Rainforest Alliance,2025-10-31
268,1572,8,Trinitario,Premium,Aucune,2025-03-09
269,8689,22,Criollo,Premium,Aucune,2025-09-07
270,6905,10,Trinitario,Premium,Rainforest Alliance,2023-05-19
271,4231,27,Forastero,Premium,Fairtrade,2023-11-23
272,775,48,Trinitario,Standard,Aucune,2025-04-12
273,7459,5,Forastero,Premium,Fairtrade,2025-11-23
274,10150,46,Forastero,Standard,Rainforest Alliance,2024-10-26
275,8270,57,Trinitario,Premium,Fairtrade,2023-09-16
276,2820,42,Forastero,Standard,UTZ,2024-05-08
277,3323,57,Forastero,Premium,Fairtrade,2024-09-10
278,3479,108,Forastero,Standard,Fairtrade,2023-12-10
279,11958,46,Trinitario,Standard,Rainforest Alliance,2023-09-16
280,2881,72,Forastero,Standard,Rainforest Alliance,2024-05-10
281,2807,61,Forastero,Standard,Rainforest Alliance,2025-07-04
282,2609,111,Forastero,Premium,UTZ,2025-12-24
283,5628,45,Forastero,Premium,Aucune,2024-02-24
284,11465,18,Forastero,Standard,Rainforest Alliance,2025-01-16
285,519,75,Trinitario,Standard,Aucune,2023-08-06
286,10123,111,Forastero,Standard,UTZ,2024-06-27
287,10199,89,Forastero,Premium,Fairtrade,2025-07-22
288,4117,46,Forastero,Premium,Rainforest Alliance,2023-06-23
289,7648,38,Forastero,Standard,Aucune,2025-03-13
290,10329,72,Forastero,Standard,Rainforest Alliance,2025-01-07
291,4694,16,Forastero,Standard,Aucune,2024-05-22
292,8492,81,Forastero,Premium,Fairtrade,2024-03-16
293,9781,78,Forastero,Standard,Rainforest Alliance,2023-02-07
294,9013,82,Forastero,Standard,Rainforest Alliance,2025-05-08
295,10776,9,Forastero,Premium,Aucune,2024-10-04
296,3345,61,Forastero,Standard,Rainforest Alliance,2023-11-16
297,1969,38,Forastero,Standard,Aucune,2024-07-15
298,1464,94,Forastero,Standard,Rainforest Alliance,2024-05-24
299,5302,65,Forastero,Standard,Fairtrade,2025-10-06
300,9021,81,Trinitario,Standard,Fairtrade,2024-12-27
301,2988,116,Forastero,Standard,Aucune,2023-08-12
302,4090,107,Forastero,Premium,Aucune,2025-05-06
303,2203,119,Trinitario,Standard,Aucune,2023-11-18
304,1267,66,Trinitario,Standard,Fairtrade,2023-02-12
305,8755,39,Forastero,Standard,UTZ,2023-04-16
306,992,71,Forastero,Standard,Aucune,2024-04-04
307,3473,32,Forastero,Standard,Aucune,2025-07-02
308,7404,50,Forastero,Standard,Aucune,2025-03-09
309,10262,19,Forastero,Standard,Rainforest Alliance,2024-09-07
310,9665,60,Forastero,Standard,Bio,2024-06-30
311,1882,60,Forastero,Standard,Bio,2024-03-23
312,8609,99,Forastero,Premium,Aucune,2023-11-17
313,26,107,Trinitario,Premium,Aucune,2023-10-11
314,10056,79,Forastero,Standard,Aucune,2024-02-07
315,959,87,Trinitario,Standard,Rainforest Alliance,2023-06-06
316,7162,58,Trinitario,Premium,Aucune,2023-04-03
317,11438,62,Trinitario,Standard,Aucune,2024-04-20
318,5819,55,Forastero,Standard,UTZ,2025-08-04
319,7498,63,Trinitario,Standard,Fairtrade,2023-02-26
320,5061,84,Forastero,Premium,Rainforest Alliance,2024-07-07
321,11938,15,Forastero,Premium,Rainforest Alliance,2023-09-30
322,8324,75,Forastero,Standard,Aucune,2024-06-07
323,6748,69,Forastero,Standard,Aucune,2024-08-09
324,10796,60,Forastero,Standard,Bio,2025-02-26
325,6743,62,Forastero,Standard,Aucune,2023-06-07
326,8977,83,Forastero,Standard,Aucune,2025-12-18
327,1131,36,Forastero,Premium,Fairtrade,2025-11-12
328,4935,83,Forastero,Standard,Aucune,2025-02-24
329,2676,13,Trinitario,Standard,Aucune,2025-07-24
330,1577,20,Forastero,Premium,Aucune,2023-06-24
331,863,9,Forastero,Premium,Aucune,2023-02-28
332,941,89,Trinitario,Premium,Fairtrade,2025-03-04
333,6041,2,Forastero,Standard,Aucune,2024-08-03
334,2797,85,Forastero,Premium,Aucune,2023-02-16
335,1145,53,Forastero,Premium,Fairtrade,2024-04-10
336,11171,94,Forastero,Standard,Rainforest Alliance,2025-03-19
337,5517,54,Forastero,Standard,Fairtrade,2024-11-02
338,9236,62,Forastero,Standard,Aucune,2023-05-05
339,2929,23,Forastero,Premium,Rainforest Alliance,2023-07-18
340,809,82,Forastero,Standard,Rainforest Alliance,2024-05-19
341,4351,26,Criollo,Premium,UTZ,2023-02-21
342,9714,97,Forastero,Premium,Aucune,2023-11-28
343,9953,105,Forastero,Standard,Bio,2024-11-10
344,6268,105,Trinitario,Standard,Bio,2025-03-14
345,9902,33,Forastero,Premium,Rainforest Alliance,2024-02-20
346,9648,102,Forastero,Premium,Aucune,2025-09-16
347,11145,41,Trinitario,Standard,Fairtrade,2024-03-27
348,3008,1,Forastero,Premium,Aucune,2025-04-30
349,10917,110,Forastero,Standard,Aucune,2025-06-09
350,10028,43,Forastero,Standard,Aucune,2023-04-19
351,3281,43,Forastero,Standard,Aucune,2024-12-05
352,2883,41,Trinitario,Premium,Fairtrade,2024-08-26
353,7983,82,Forastero,Standard,Rainforest Alliance,2023-03-10
354,11187,55,Forastero,Standard,UTZ,2024-04-23
355,2954,116,Forastero,Standard,Aucune,2024-09-14
356,2248,53,Forastero,Premium,Fairtrade,2025-08-02
357,10563,42,Forastero,Premium,UTZ,2024-03-11
358,10775,87,Forastero,Premium,Rainforest Alliance,2024-03-21
359,3892,64,Forastero,Premium,Rainforest Alliance,2024-08-07
360,725,96,Forastero,Standard,Aucune,2024-12-18
361,9667,29,Forastero,Standard,Rainforest Alliance,2024-10-05
362,6313,9,Forastero,Standard,Aucune,2023-10-24
363,10364,39,Forastero,Standard,UTZ,2024-10-18
364,10444,112,Forastero,Premium,Aucune,2025-07-26
365,4876,106,Trinitario,Premium,Rainforest Alliance,2025-11-05
366,8091,19,Forastero,Standard,Rainforest Alliance,2025-03-09
367,4705,33,Forastero,Standard,Rainforest Alliance,2025-12-30
368,10006,6,Forastero,Standard,Aucune,2025-04-07
369,1734,36,Criollo,Standard,Fairtrade,2024-07-08
370,11814,4,Trinitario,Standard,UTZ,2024-11-30
371,10552,24,Forastero,Standard,Rainforest Alliance,2025-11-24
372,9306,44,Forastero,Standard,Bio,2023-09-04
373,7548,61,Trinitario,Standard,Rainforest Alliance,2024-08-24
374,6143,15,Forastero,Standard,Rainforest Alliance,2024-08-25
375,845,79,Trinitario,Standard,Aucune,2023-08-19
376,11914,43,Forastero,Standard,Aucune,2024-01-30
377,3525,6,Forastero,Premium,Aucune,2023-01-13
378,2502,113,Trinitario,Standard,UTZ,2025-06-05
379,5598,72,Trinitario,Standard,Rainforest Alliance,2025-04-07
380,3289,96,Trinitario,Standard,Aucune,2025-12-01
381,3751,3,Forastero,Premium,Aucune,2023-05-01
382,8126,117,Forastero,Premium,Fairtrade,2024-08-04
383,6057,65,Forastero,Premium,Fairtrade,2024-03-20
384,9074,107,Forastero,Standard,Aucune,2023-10-07
385,6746,32,Forastero,Premium,Aucune,2025-09-23
386,8091,19,Forastero,Standard,Rainforest Alliance,2025-06-21
387,8022,98,Forastero,Standard,Fairtrade,2024-01-21
388,9600,114,Forastero,Standard,Rainforest Alliance,2023-11-01
389,7395,64,Forastero,Standard,Rainforest Alliance,2023-08-12
390,5237,19,Forastero,Standard,Rainforest Alliance,2025-01-15
391,1414,34,Forastero,Premium,Rainforest Alliance,2024-03-30
392,5145,76,Forastero,Premium,Aucune,2024-02-14
393,10682,97,Forastero,Standard,Aucune,2023-04-23
394,3012,11,Trinitario,Standard,Aucune,2025-11-04
395,2293,107,Forastero,Premium,Aucune,2025-10-01
396,4248,53,Forastero,Premium,Fairtrade,2024-09-19
397,10030,94,Forastero,Standard,Rainforest Alliance,2024-09-07
398,4491,12,Trinitario,Standard,Fairtrade,2024-07-11
399,2969,70,Forastero,Standard,Rainforest Alliance,2025-09-27
400,6800,79,Forastero,Premium,Aucune,2025-07-06
401,7058,56,Forastero,Standard,Aucune,2024-12-30
402,4315,115,Forastero,Standard,Aucune,2023-04-17
403,4602,77,Trinitario,Standard,Bio,2023-11-25
404,659,13,Forastero,Standard,Aucune,2023-09-20
405,413,34,Trinitario,Premium,Rainforest Alliance,2025-10-21
406,561,21,Forastero,Standard,Aucune,2025-09-06
407,6778,113,Forastero,Premium,UTZ,2024-06-05
408,10720,34,Forastero,Premium,Rainforest Alliance,2023-05-12
409,7176,115,Forastero,Premium,Aucune,2023-12-30
410,5761,4,Forastero,Standard,UTZ,2024-06-19
411,7832,114,Forastero,Standard,Rainforest Alliance,2025-05-23
412,5891,90,Forastero,Standard,Aucune,2025-10-05
413,2097,68,Forastero,Standard,Rainforest Alliance,2023-06-15
414,1021,19,Trinitario,Standard,Rainforest Alliance,2025-07-04
415,97,81,Forastero,Standard,Fairtrade,2025-02-18
416,8101,118,Forastero,Premium,Aucune,2025-12-30
417,4789,46,Forastero,Standard,Rainforest Alliance,2024-05-04
418,4312,75,Forastero,Standard,Aucune,2023-05-07
419,7658,52,Forastero,Standard,Fairtrade,2025-09-06
420,8045,58,Forastero,Standard,Aucune,2025-07-04
421,6562,37,Trinitario,Standard,Aucune,2023-10-16
422,5067,43,Trinitario,Premium,Aucune,2025-10-22
423,3469,93,Forastero,Standard,Fairtrade,2025-07-13
424,2671,10,Forastero,Standard,Rainforest Alliance,2025-03-20
425,8070,59,Forastero,Premium,Fairtrade,2023-06-01
426,5776,47,Forastero,Standard,Aucune,2023-07-23
427,6989,39,Forastero,Standard,UTZ,2024-04-02
428,5538,6,Forastero,Premium,Aucune,2025-08-11
429,1856,79,Forastero,Premium,Aucune,2025-05-16
430,6944,84,Forastero,Premium,Rainforest Alliance,2025-06-10
431,7237,39,Forastero,Standard,UTZ,2025-08-17
432,1532,37,Forastero,Premium,Aucune,2025-08-15
433,3462,70,Forastero,Standard,Rainforest Alliance,2025-07-05
434,9215,113,Forastero,Premium,UTZ,2023-12-10
435,10120,75,Forastero,Standard,Aucune,2025-03-11
436,9380,100,Forastero,Premium,Aucune,2024-10-14
437,3248,20,Trinitario,Premium,Aucune,2023-11-23
438,7008,64,Forastero,Standard,Rainforest Alliance,2023-02-28
439,5740,26,Forastero,Premium,UTZ,2023-10-24
440,6139,21,Forastero,Standard,Aucune,2024-02-18
441,11324,67,Forastero,Premium,Bio,2025-03-05
442,3142,57,Forastero,Standard,Fairtrade,2025-02-25
443,10267,25,Trinitario,Standard,Aucune,2025-09-04
444,2978,61,Forastero,Premium,Rainforest Alliance,2024-05-29
445,4631,91,Trinitario,Standard,Rainforest Alliance,2025-01-02
446,6319,67,Forastero,Premium,Bio,2023-01-08
447,9120,91,Forastero,Standard,Rainforest Alliance,2024-04-24
448,1577,20,Forastero,Standard,Aucune,2025-09-15
449,1589,69,Trinitario,Standard,Aucune,2025-11-12
450,1468,64,Forastero,Standard,Rainforest Alliance,2024-09-04
451,6587,49,Trinitario,Premium,UTZ,2023-11-29
452,9881,67,Forastero,Standard,Bio,2023-02-24
453,5969,14,Forastero,Standard,Rainforest Alliance,2023-04-08
454,7105,34,Trinitario,Premium,Rainforest Alliance,2024-08-09
455,11652,48,Forastero,Premium,Aucune,2025-06-29
456,9224,87,Forastero,Standard,Rainforest Alliance,2025-01-12
457,558,64,Trinitario,Standard,Rainforest Alliance,2024-10-24
458,11292,15,Forastero,Standard,Rainforest Alliance,2025-08-10
459,9598,114,Forastero,Standard,Rainforest Alliance,2023-05-22
460,8219,49,Forastero,Standard,UTZ,2024-01-06
461,7929,64,Forastero,Premium,Rainforest Alliance,2024-01-08
462,10530,26,Forastero,Standard,UTZ,2023-09-28
463,5015,48,Trinitario,Premium,Aucune,2025-06-17
464,1552,42,Forastero,Premium,UTZ,2024-09-15
465,5784,106,Forastero,Standard,Rainforest Alliance,2024-02-18
466,7843,49,Forastero,Standard,UTZ,2023-10-27
467,9269,1,Forastero,Premium,Aucune,2025-10-15
468,5407,55,Forastero,Standard,UTZ,2025-03-23
469,10381,56,Forastero,Standard,Aucune,2023-11-03
470,11373,33,Forastero,Standard,Rainforest Alliance,2024-01-26
471,5508,101,Forastero,Standard,Aucune,2024-12-01
472,66,25,Forastero,Premium,Aucune,2023-07-17
